trial_id,status,score,final_val_accuracy,final_val_loss,final_accuracy,final_loss,best_step,initial_lr,end_lr,poly_power,xz_units,yl_units,merged_dense1_units,merged_dense2_units,merged_dense3_units,dropout1_rate,dropout2_rate,dropout3_rate,trial_dir
53,COMPLETED,0.7712738215923309,0.7712738215923309,0.5098201334476471,0.7565569579601288,0.5078532546758652,117,0.0004699534855139438,1.4508683122588396e-05,1.5,64,32,64,96,48,0.1,0.4,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_53
54,COMPLETED,0.8945767283439636,0.8945767283439636,0.2852514386177063,0.8901406228542328,0.2946268618106842,104,0.001791969685438558,1.1353013773607094e-06,1.5,80,16,64,96,32,0.0,0.4,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_54
55,COMPLETED,0.7171155214309692,0.7171155214309692,0.5556037425994873,0.7183577716350555,0.5392427742481232,107,0.00030651570481645627,1.498241428946832e-06,2.0,128,80,64,32,16,0.2,0.0,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_55
56,COMPLETED,0.9153127074241638,0.9153127074241638,0.25418660044670105,0.9132264852523804,0.24493276327848434,111,0.005682201189419717,6.149379847172798e-06,2.0,64,16,256,128,32,0.0,0.2,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_56
57,COMPLETED,0.9041842818260193,0.9041842818260193,0.28557123243808746,0.9026748836040497,0.2696048468351364,117,0.008568579733831861,1.9955413624931224e-06,0.5,48,112,192,128,64,0.0,0.0,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_57
58,COMPLETED,0.8107055425643921,0.8107055425643921,0.45036375522613525,0.8001999258995056,0.45291668176651,118,0.001109439485044696,1.0424430170349717e-05,2.5,96,64,256,96,48,0.4,0.0,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_58
59,COMPLETED,0.7064322233200073,0.7064322233200073,0.5612314641475677,0.7013626396656036,0.547765702009201,111,0.00011862869201044105,3.5557471228176156e-06,1.5,128,48,256,64,48,0.1,0.0,0.2,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_59
60,COMPLETED,0.8703538775444031,0.8703538775444031,0.3539465516805649,0.8542937338352203,0.3747696876525879,118,0.0005492329669258139,8.585532013046718e-05,1.0,96,64,256,64,64,0.4,0.0,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_60
61,COMPLETED,0.9010312259197235,0.9010312259197235,0.2979547530412674,0.8894013464450836,0.3128594756126404,117,0.008518762868859345,1.093455908444266e-06,1.0,128,48,128,64,32,0.4,0.4,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_61
62,COMPLETED,0.701572835445404,0.701572835445404,0.5679562389850616,0.7010518014431,0.5551128685474396,117,0.0001898304259554458,3.1974910033502756e-06,2.5,128,16,256,64,64,0.1,0.1,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_62
63,COMPLETED,0.8901624977588654,0.8901624977588654,0.302692711353302,0.8848732113838196,0.31825023889541626,112,0.0031348941018167933,1.1974376437047926e-05,1.5,48,96,128,32,16,0.1,0.30000000000000004,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_63
64,COMPLETED,0.7582536041736603,0.7582536041736603,0.5145543664693832,0.7434598505496979,0.5110367238521576,113,0.00028107579762840494,7.775645935042447e-05,1.5,96,64,192,96,32,0.2,0.2,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_64
65,COMPLETED,0.7558053433895111,0.7558053433895111,0.5140877515077591,0.7550700008869171,0.501388281583786,118,0.00025969686397759293,1.2466352643637001e-06,0.5,64,128,64,128,64,0.2,0.30000000000000004,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_65
66,COMPLETED,0.8364121913909912,0.8364121913909912,0.44202961027622223,0.8198917806148529,0.4425198435783386,116,0.0004059999358516054,1.8751129154482797e-06,1.5,64,80,128,128,32,0.0,0.2,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_66
67,COMPLETED,0.8166777789592743,0.8166777789592743,0.4210596978664398,0.8186148405075073,0.4038088619709015,115,0.003902784327745087,3.8143689802813056e-06,2.0,16,80,192,64,16,0.1,0.0,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_67
68,COMPLETED,0.7095852792263031,0.7095852792263031,0.5602152645587921,0.7089822888374329,0.54605433344841,115,0.00011887582580825929,8.552788406092914e-05,2.5,112,80,256,96,48,0.30000000000000004,0.1,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_68
69,COMPLETED,0.8865642845630646,0.8865642845630646,0.29941147565841675,0.8817312717437744,0.3130572587251663,104,0.0026479673228466494,1.9735477356849285e-06,2.0,96,16,64,128,32,0.2,0.4,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_69
